model,montage,thres_yodenj,thres_f1,thres_far0.5,thres_far1,thres_far2,thres_far5
SPaRCNet,full,0.534900606,0.590002,0.815732956,0.681479812,0.536812961,0.289836258
SPaRCNet,epiminder_2,0.077059507,0.074320972,0.457987607,0.240367696,0.119815379,0.055708546
SPaRCNet,uneeg_diag_left_front,0.534710884,0.548299193,0.66656357,0.616120517,0.551214457,0.418720543
SPaRCNet,uneeg_diag_right_front,0.186447844,0.19199878,0.5671646,0.444451183,0.333209038,0.139991596
SPaRCNet,uneeg_diag_bilateral_front,0.179160148,0.201204628,0.586320817,0.447365284,0.337558091,0.102017932
SPaRCNet,uneeg_left_front,0.354329765,0.031355619,0.416306823,0.353758633,0.325685859,0.230043545
SPaRCNet,uneeg_right_front,0.171633303,0.015746647,0.210101932,0.161025554,0.141206473,0.091230594
SPaRCNet,uneeg_bilateral_front2,0.065259762,0.006155459,0.130845904,0.060580041,0.045963395,0.026515154
SPaRCNet,uneeg_vert_left,0.20318146,0.214256689,0.522332072,0.448666245,0.310369819,0.161861971
SPaRCNet,uneeg_vert_right,0.294316381,0.312874377,0.654650331,0.552657306,0.44597435,0.241546527
SPaRCNet,uneeg_vert_bilateral,0.106831878,0.102374978,0.561370432,0.449941844,0.321803004,0.080020294
SPaRCNet,uneeg_diag_left_back,0.724025369,0.701643705,0.873834908,0.83630538,0.785319149,0.660201192
SPaRCNet,uneeg_diag_right_back,0.721615911,0.698395252,0.873991072,0.835809231,0.78623271,0.648131669
SPaRCNet,uneeg_diag_bilateral_back,0.771877289,0.75741899,0.888614476,0.867748737,0.835724354,0.724439144
SPaRCNet,uneeg_left_back,0.47175163,0.152508155,0.555306494,0.505526423,0.456809908,0.404929668
SPaRCNet,uneeg_right_back,0.391585231,0.102915749,0.446805924,0.408073902,0.374794602,0.320535541
SPaRCNet,uneeg_bilateral_back2,0.186973959,0.034334566,0.424690038,0.249816805,0.185092643,0.130167574
NDD,full,1.150789827,1.216997061,4.855278,3.017401367,1.884552047,0.907157246
NDD,epiminder_2,1.030084401,0.988960028,3.153806567,1.994663835,1.3246665,0.798676044
NDD,uneeg_diag_left_front,1.231261849,1.150282264,4.583777905,2.921770573,1.794428945,0.838212371
NDD,uneeg_diag_right_front,1.133332849,1.363883734,4.889427185,2.983346939,1.809966803,0.846269429
NDD,uneeg_diag_bilateral_front,1.179453582,1.494970471,4.56439364,3.071696639,1.787633777,0.862262428
NDD,uneeg_left_front,1.243549824,1.216612816,5.551172733,3.475526571,1.929025888,0.864287317
NDD,uneeg_right_front,1.207675099,1.055643201,5.696599007,3.150848866,1.922299743,0.843402445
NDD,uneeg_bilateral_front2,1.247989655,1.284595907,5.521573067,3.237679005,1.958212137,0.876237214
NDD,uneeg_vert_left,1.138363242,1.351598382,5.29393959,3.174381495,1.867072582,0.833461821
NDD,uneeg_vert_right,1.190737009,1.550196171,5.377972126,3.308489799,1.826091051,0.823529124
NDD,uneeg_vert_bilateral,1.196476519,1.474919617,5.147928953,3.206784368,1.91086185,0.862578809
NDD,uneeg_diag_left_back,1.098496914,1.179598927,4.152674675,2.62814045,1.619731426,0.817760289
NDD,uneeg_diag_right_back,1.084008217,1.269702435,4.366674423,2.67478776,1.641978621,0.818205833
NDD,uneeg_diag_bilateral_back,1.139449596,1.094025731,4.107703686,2.632020414,1.681412756,0.829702854
NDD,uneeg_left_back,1.100156665,1.25527072,5.287329197,3.424684763,2.016945839,0.833932102
NDD,uneeg_right_back,1.167556405,1.259680867,5.656807423,3.13052845,1.934196234,0.822680712
NDD,uneeg_bilateral_back2,1.229990333,1.096811354,5.484420657,3.28289175,2.002210021,0.858817846
SVM,full,0.815625,0.880681818,inf,inf,inf,0.7625
SVM,epiminder_2,0.975,0.8,inf,inf,inf,0.85
SVM,uneeg_diag_left_front,1,0.9,inf,inf,inf,inf
SVM,uneeg_diag_right_front,1,0.833333333,inf,inf,inf,inf
SVM,uneeg_diag_bilateral_front,1,0.725,inf,inf,inf,0.958333333
SVM,uneeg_left_front,1,0.538461538,inf,inf,inf,inf
SVM,uneeg_right_front,1,0.8,inf,inf,inf,inf
SVM,uneeg_bilateral_front2,1,0.791666667,inf,inf,inf,1
SVM,uneeg_vert_left,0.95,0.9375,inf,inf,inf,inf
SVM,uneeg_vert_right,1,0.846153846,inf,inf,inf,inf
SVM,uneeg_vert_bilateral,0.975,0.725,inf,inf,inf,0.958333333
SVM,uneeg_diag_left_back,0.95,0.705882353,inf,inf,inf,inf
SVM,uneeg_diag_right_back,1,0.789473684,inf,inf,inf,inf
SVM,uneeg_diag_bilateral_back,0.95,0.725,inf,inf,inf,0.958333333
SVM,uneeg_left_back,0.95,0.714285714,inf,inf,inf,inf
SVM,uneeg_right_back,1,0.65,inf,inf,inf,inf
SVM,uneeg_bilateral_back2,0.975,0.736842105,inf,inf,inf,inf
SPaRCNet,ceribell,0.18576327,0.162349835,0.479932725,0.4139193,0.224774972,0.068885632
NDD,ceribell,1.283769898,1.124183081,5.501833737,3.376709178,2.033729136,0.92275171
SVM,ceribell,1,0.798076923,inf,inf,inf,0.88125
Feat,full,0.5038775685400865,0.4915233118485588,0.8195359248839424,0.7245283010215702,0.6072078252380204,0.3076740844587323
Feat,epiminder_2,0.4954038960728233,0.577442917794758,0.7953718123019528,0.6969431686243066,0.5478820520266593,0.3114617337878065
